Num.of.Individuals,Num.of.Markers,Type,accuracy,SD,Comparison,
30,10,T,0.983333333,0,PUR_ACB,
30,20,T,0.983333333,0,PUR_ACB,
30,30,T,1,0,PUR_ACB,
30,40,T,1,0,PUR_ACB,
30,50,T,1,0,PUR_ACB,
30,60,T,1,0,PUR_ACB,
30,70,T,1,0,PUR_ACB,
30,80,T,1,0,PUR_ACB,
30,90,T,1,0,PUR_ACB,
30,100,T,1,0,PUR_ACB,
40,10,T,0.9875,0,PUR_ACB,
40,20,T,0.9875,0,PUR_ACB,
40,30,T,1,0,PUR_ACB,
40,40,T,1,0,PUR_ACB,
40,50,T,1,0,PUR_ACB,
40,60,T,1,0,PUR_ACB,
40,70,T,1,0,PUR_ACB,
40,80,T,1,0,PUR_ACB,
40,90,T,1,0,PUR_ACB,
40,100,T,1,0,PUR_ACB,
50,10,T,0.98,0,PUR_ACB,
50,20,T,0.99,0,PUR_ACB,
50,30,T,1,0,PUR_ACB,
50,40,T,1,0,PUR_ACB,
50,50,T,1,0,PUR_ACB,
50,60,T,1,0,PUR_ACB,
50,70,T,1,0,PUR_ACB,
50,80,T,1,0,PUR_ACB,
50,90,T,1,0,PUR_ACB,
50,100,T,1,0,PUR_ACB,
10,10,R,0.785,0.126802789,PUR_ACB,
10,20,R,0.885,0.067082039,PUR_ACB,
10,30,R,0.93,0.057124057,PUR_ACB,
10,40,R,0.95,0.062828086,PUR_ACB,
10,50,R,0.9725,0.041278897,PUR_ACB,
10,60,R,0.98,0.034027852,PUR_ACB,
10,70,R,0.9825,0.029357147,PUR_ACB,
10,80,R,0.975,0.03441236,PUR_ACB,
10,90,R,0.9825,0.029357147,PUR_ACB,
10,100,R,0.985,0.028562029,PUR_ACB,
20,10,R,0.7875,0.104974934,PUR_ACB,
20,20,R,0.87625,0.054092392,PUR_ACB,
20,30,R,0.9225,0.040474163,PUR_ACB,
20,40,R,0.945,0.049736146,PUR_ACB,
20,50,R,0.96875,0.031282877,PUR_ACB,
20,60,R,0.975,0.036273813,PUR_ACB,
20,70,R,0.98,0.020837719,PUR_ACB,
20,80,R,0.97625,0.017158319,PUR_ACB,
20,90,R,0.98125,0.01375299,PUR_ACB,
20,100,R,0.98375,0.018628996,PUR_ACB,
30,10,R,0.796666667,0.087792952,PUR_ACB,
30,20,R,0.883333333,0.05873919,PUR_ACB,
30,30,R,0.930833333,0.035571771,PUR_ACB,
30,40,R,0.949166667,0.039542338,PUR_ACB,
30,50,R,0.973333333,0.02442317,PUR_ACB,
30,60,R,0.978333333,0.025989202,PUR_ACB,
30,70,R,0.9825,0.017501044,PUR_ACB,
30,80,R,0.98,0.013891813,PUR_ACB,
30,90,R,0.984166667,0.011438879,PUR_ACB,
30,100,R,0.986666667,0.013891813,PUR_ACB,
40,10,R,0.795,0.073493645,PUR_ACB,
40,20,R,0.888125,0.047551046,PUR_ACB,
40,30,R,0.931875,0.03256446,PUR_ACB,
40,40,R,0.950625,0.031276305,PUR_ACB,
40,50,R,0.970625,0.022680199,PUR_ACB,
40,60,R,0.978125,0.021792608,PUR_ACB,
40,70,R,0.9825,0.013693064,PUR_ACB,
40,80,R,0.981875,0.011806416,PUR_ACB,
40,90,R,0.985,0.009597149,PUR_ACB,
40,100,R,0.9875,0.011470787,PUR_ACB,
50,10,R,0.8025,0.063068467,PUR_ACB,
50,20,R,0.891,0.04278465,PUR_ACB,
50,30,R,0.933,0.029929742,PUR_ACB,
50,40,R,0.9515,0.033289006,PUR_ACB,
50,50,R,0.97,0.023841582,PUR_ACB,
50,60,R,0.9775,0.019432745,PUR_ACB,
50,70,R,0.9835,0.013484884,PUR_ACB,
50,80,R,0.9835,0.010894228,PUR_ACB,
50,90,R,0.986,0.0088258,PUR_ACB,
50,100,R,0.989,0.009119095,PUR_ACB,
10,10,T,0.95,0,PUR_CLM,
10,20,T,0.9,0,PUR_CLM,
10,30,T,0.9,0,PUR_CLM,
10,40,T,1,0,PUR_CLM,
10,50,T,1,0,PUR_CLM,
10,60,T,1,0,PUR_CLM,
10,70,T,1,0,PUR_CLM,
10,80,T,1,0,PUR_CLM,
10,90,T,1,0,PUR_CLM,
10,100,T,1,0,PUR_CLM,
20,10,T,0.95,0,PUR_CLM,
20,20,T,0.925,0,PUR_CLM,
20,30,T,0.925,0,PUR_CLM,
20,40,T,1,0,PUR_CLM,
20,50,T,1,0,PUR_CLM,
20,60,T,1,0,PUR_CLM,
20,70,T,1,0,PUR_CLM,
20,80,T,1,0,PUR_CLM,
20,90,T,1,0,PUR_CLM,
20,100,T,1,0,PUR_CLM,
30,10,T,0.916666667,0,PUR_CLM,
30,20,T,0.916666667,0,PUR_CLM,
30,30,T,0.933333333,0,PUR_CLM,
30,40,T,1,0,PUR_CLM,
30,50,T,0.983333333,0,PUR_CLM,
30,60,T,0.983333333,0,PUR_CLM,
30,70,T,1,0,PUR_CLM,
30,80,T,0.983333333,0,PUR_CLM,
30,90,T,1,0,PUR_CLM,
