"Num.of.Individuals","Num.of.Markers","Type","Replicate 1","Replicate 2","Replicate 3","Replicate 4","Replicate 5","Replicate 6","Replicate 7","Replicate 8","Replicate 9","Replicate 10","Replicate 11","Replicate 12","Replicate 13","Replicate 14","Replicate 15","Replicate 16","Replicate 17","Replicate 18","Replicate 19","Replicate 20"
10,70,"R",0.85,0.95,0.75,0.65,0.75,0.85,0.9,0.8,0.85,0.9,0.7,0.75,0.9,0.85,0.75,0.65,0.75,0.8,0.75,0.85
10,80,"R",0.85,1,0.75,0.75,0.75,0.9,0.9,0.8,0.85,0.95,0.85,0.8,0.9,0.75,0.85,0.8,0.75,0.75,0.85,0.85
10,90,"R",0.95,0.95,0.9,0.8,0.7,0.85,0.9,0.8,0.85,0.95,0.8,0.9,0.9,0.75,0.8,0.8,0.75,0.85,0.8,0.85
10,100,"R",0.95,0.9,0.85,0.9,0.7,0.9,0.8,0.85,0.85,0.9,0.75,0.9,0.9,0.8,0.75,0.8,0.75,0.8,0.85,0.85
20,10,"R",0.625,0.65,0.475,0.525,0.65,0.775,0.65,0.675,0.775,0.775,0.6,0.725,0.675,0.725,0.675,0.6,0.55,0.65,0.6,0.7
20,20,"R",0.725,0.725,0.575,0.675,0.65,0.725,0.65,0.625,0.825,0.8,0.65,0.65,0.725,0.775,0.775,0.675,0.6,0.725,0.675,0.75
20,30,"R",0.75,0.775,0.675,0.8,0.65,0.8,0.7,0.7,0.725,0.85,0.6,0.825,0.7,0.675,0.825,0.625,0.675,0.7,0.625,0.725
20,40,"R",0.775,0.775,0.725,0.825,0.75,0.825,0.675,0.75,0.725,0.775,0.6,0.725,0.725,0.775,0.825,0.7,0.65,0.725,0.6,0.8
20,50,"R",0.75,0.775,0.65,0.8,0.775,0.85,0.75,0.8,0.725,0.8,0.6,0.775,0.725,0.775,0.8,0.725,0.75,0.75,0.775,0.8
20,60,"R",0.825,0.825,0.75,0.775,0.75,0.825,0.775,0.8,0.75,0.825,0.575,0.825,0.8,0.825,0.75,0.775,0.75,0.8,0.8,0.8
20,70,"R",0.775,0.9,0.7,0.775,0.85,0.85,0.8,0.75,0.875,0.825,0.65,0.75,0.8,0.775,0.8,0.75,0.8,0.8,0.8,0.8
20,80,"R",0.8,0.9,0.675,0.825,0.85,0.9,0.85,0.775,0.85,0.875,0.75,0.825,0.8,0.725,0.875,0.825,0.8,0.8,0.875,0.825
20,90,"R",0.9,0.9,0.85,0.85,0.825,0.9,0.85,0.775,0.875,0.85,0.75,0.85,0.8,0.7,0.825,0.825,0.85,0.925,0.85,0.8
20,100,"R",0.9,0.875,0.775,0.9,0.825,0.925,0.825,0.8,0.9,0.875,0.75,0.875,0.775,0.775,0.825,0.85,0.825,0.9,0.875,0.85
30,10,"R",0.65,0.6,0.566666666666667,0.566666666666667,0.666666666666667,0.65,0.633333333333333,0.65,0.783333333333333,0.666666666666667,0.6,0.766666666666667,0.633333333333333,0.666666666666667,0.633333333333333,0.616666666666667,0.566666666666667,0.583333333333333,0.583333333333333,0.733333333333333
30,20,"R",0.766666666666667,0.7,0.633333333333333,0.733333333333333,0.6,0.633333333333333,0.633333333333333,0.616666666666667,0.783333333333333,0.733333333333333,0.633333333333333,0.716666666666667,0.733333333333333,0.716666666666667,0.683333333333333,0.683333333333333,0.583333333333333,0.7,0.65,0.766666666666667
30,30,"R",0.783333333333333,0.75,0.733333333333333,0.816666666666667,0.65,0.75,0.7,0.65,0.783333333333333,0.733333333333333,0.616666666666667,0.866666666666667,0.7,0.716666666666667,0.766666666666667,0.683333333333333,0.683333333333333,0.733333333333333,0.666666666666667,0.766666666666667
30,40,"R",0.8,0.783333333333333,0.766666666666667,0.833333333333333,0.733333333333333,0.733333333333333,0.683333333333333,0.7,0.783333333333333,0.733333333333333,0.6,0.816666666666667,0.7,0.783333333333333,0.75,0.716666666666667,0.633333333333333,0.75,0.65,0.816666666666667
30,50,"R",0.8,0.766666666666667,0.716666666666667,0.783333333333333,0.766666666666667,0.8,0.75,0.783333333333333,0.8,0.766666666666667,0.666666666666667,0.833333333333333,0.7,0.783333333333333,0.783333333333333,0.683333333333333,0.716666666666667,0.75,0.75,0.833333333333333
30,60,"R",0.833333333333333,0.816666666666667,0.766666666666667,0.816666666666667,0.766666666666667,0.8,0.75,0.75,0.783333333333333,0.8,0.65,0.85,0.8,0.833333333333333,0.733333333333333,0.75,0.716666666666667,0.8,0.783333333333333,0.85
30,70,"R",0.783333333333333,0.85,0.733333333333333,0.8,0.783333333333333,0.833333333333333,0.75,0.733333333333333,0.866666666666667,0.8,0.683333333333333,0.783333333333333,0.8,0.8,0.766666666666667,0.733333333333333,0.75,0.783333333333333,0.783333333333333,0.85
30,80,"R",0.816666666666667,0.85,0.7,0.816666666666667,0.783333333333333,0.866666666666667,0.783333333333333,0.783333333333333,0.85,0.85,0.783333333333333,0.85,0.816666666666667,0.783333333333333,0.833333333333333,0.8,0.783333333333333,0.783333333333333,0.85,0.866666666666667
30,90,"R",0.9,0.866666666666667,0.833333333333333,0.833333333333333,0.766666666666667,0.866666666666667,0.8,0.8,0.883333333333333,0.783333333333333,0.783333333333333,0.883333333333333,0.816666666666667,0.766666666666667,0.85,0.833333333333333,0.816666666666667,0.883333333333333,0.833333333333333,0.85
30,100,"R",0.866666666666667,0.833333333333333,0.783333333333333,0.883333333333333,0.8,0.883333333333333,0.8,0.8,0.9,0.85,0.783333333333333,0.883333333333333,0.783333333333333,0.816666666666667,0.8,0.816666666666667,0.8,0.85,0.866666666666667,0.883333333333333
40,10,"R",0.625,0.5875,0.5875,0.575,0.6125,0.6375,0.625,0.6625,0.725,0.6375,0.6375,0.7125,0.625,0.6625,0.675,0.65,0.625,0.5875,0.5875,0.7375
40,20,"R",0.75,0.65,0.675,0.7125,0.6125,0.6,0.6375,0.625,0.725,0.7125,0.6875,0.675,0.65,0.7,0.7,0.6875,0.625,0.725,0.65,0.8125
40,30,"R",0.7875,0.7375,0.725,0.775,0.675,0.725,0.7125,0.6625,0.7625,0.7125,0.675,0.7625,0.675,0.725,0.7625,0.675,0.6875,0.75,0.6625,0.8
40,40,"R",0.7875,0.7875,0.775,0.8,0.75,0.7,0.7,0.7125,0.775,0.6875,0.675,0.775,0.725,0.7875,0.75,0.7125,0.65,0.7875,0.65,0.85
40,50,"R",0.7875,0.775,0.75,0.7625,0.775,0.7625,0.7375,0.775,0.8125,0.775,0.725,0.775,0.7375,0.8125,0.7875,0.675,0.725,0.775,0.75,0.8375
40,60,"R",0.8125,0.825,0.8,0.8125,0.7875,0.775,0.75,0.75,0.8,0.8,0.725,0.825,0.8,0.8375,0.7625,0.7625,0.75,0.825,0.8,0.85
