Num.of.Individuals	Num.of.Markers	Type	accuracy	SD	misclassification	FST	jittered_x
30	90	R	0.786666666666667	0.0488463398043366	0.213333333333333	0.02	90.0707856757566
30	100	R	0.804166666666667	0.050977291125817	0.195833333333333	0.02	99.8787075116765
40	10	R	0.5925	0.0786815701017984	0.4075	0.02	10.1042415056843
40	20	R	0.635	0.0751752338837312	0.365	0.02	20.2953523572069
40	30	R	0.6575	0.0743834305261737	0.3425	0.02	30.0949093608186
40	40	R	0.686875	0.0704164071416374	0.313125	0.02	39.8535068395082
40	50	R	0.7075	0.0630110683677249	0.2925	0.02	50.039243469527
40	60	R	0.730625	0.0564105894780684	0.269375	0.02	59.7895790187176
40	70	R	0.73375	0.0625788975698089	0.26625	0.02	69.7629232505336
40	80	R	0.75	0.0617720768121342	0.25	0.02	80.0646321399603
40	90	R	0.778125	0.0601362214607714	0.221875	0.02	90.2451991343871
40	100	R	0.79375	0.0588402162864106	0.20625	0.02	100.159635649389
50	10	R	0.5905	0.0680150912046654	0.4095	0.02	10.1680853927508
50	20	R	0.6295	0.0680924294424014	0.3705	0.02	20.1926433696412
50	30	R	0.6535	0.069302920117713	0.3465	0.02	29.8243774613366
50	40	R	0.682	0.0603149627940042	0.318	0.02	40.2952203447465
50	50	R	0.6965	0.0544131369586813	0.3035	0.02	50.2343112837058
50	60	R	0.725	0.0504192945523625	0.275	0.02	60.0261069282889
50	70	R	0.732	0.0597010094245967	0.268	0.02	69.9936056191567
50	80	R	0.745	0.0581739677718117	0.255	0.02	79.8147948203608
50	90	R	0.775	0.0567079313119797	0.225	0.02	90.1948298913427
50	100	R	0.7895	0.0580811591880842	0.2105	0.02	100.002055947715
10	10	T	0.7	0	0.3	0.04	10.1569314813241
10	20	T	0.8	0	0.2	0.04	19.7221311861184
10	30	T	0.8	0	0.2	0.04	30.1457662737463
10	40	T	0.7	0	0.3	0.04	39.9402448008303
10	50	T	0.75	0	0.25	0.04	50.0332126093097
10	60	T	0.7	0	0.3	0.04	59.8209981068037
10	70	T	0.65	0	0.35	0.04	70.0434383758344
10	80	T	0.7	0	0.3	0.04	79.7803323809989
10	90	T	0.7	0	0.3	0.04	89.968105845619
10	100	T	0.7	0	0.3	0.04	100.262238971191
20	10	T	0.625	0	0.375	0.04	9.89517683382146
20	20	T	0.775	0	0.225	0.04	20.0151201950386
20	30	T	0.725	0	0.275	0.04	29.7065782909747
20	40	T	0.7	0	0.3	0.04	40.1329863682389
20	50	T	0.8	0	0.2	0.04	50.1973282252904
20	60	T	0.775	0	0.225	0.04	59.7859573708847
20	70	T	0.625	0	0.375	0.04	70.2769698096439
20	80	T	0.7	0	0.3	0.04	79.8188939709682
20	90	T	0.7	0	0.3	0.04	89.7080772448797
20	100	T	0.7	0	0.3	0.04	99.7842172229662
30	10	T	0.6	0	0.4	0.04	9.93430328569375
30	20	T	0.783333333333333	0	0.216666666666667	0.04	20.2785120599903
30	30	T	0.75	0	0.25	0.04	30.0795871445909
30	40	T	0.716666666666667	0	0.283333333333333	0.04	40.0037549931556
30	50	T	0.816666666666667	0	0.183333333333333	0.04	49.7281642094255
30	60	T	0.8	0	0.2	0.04	59.755292451242
30	70	T	0.683333333333333	0	0.316666666666667	0.04	69.7664939224254
30	80	T	0.75	0	0.25	0.04	80.0566565696616
30	90	T	0.766666666666667	0	0.233333333333333	0.04	90.0787598830182
30	100	T	0.766666666666667	0	0.233333333333333	0.04	99.907439537067
40	10	T	0.6375	0	0.3625	0.04	10.1962729347404
40	20	T	0.7875	0	0.2125	0.04	19.8547881803475
40	30	T	0.7625	0	0.2375	0.04	30.1193929041736
40	40	T	0.75	0	0.25	0.04	40.2935918129049
40	50	T	0.7875	0	0.2125	0.04	49.9258315556217
40	60	T	0.8	0	0.2	0.04	59.7895556788892
40	70	T	0.7125	0	0.2875	0.04	70.0525958317798
40	80	T	0.75	0	0.25	0.04	80.2736501506064
40	90	T	0.7625	0	0.2375	0.04	89.8052002262324
40	100	T	0.775	0	0.225	0.04	99.7909816793632
50	10	T	0.63	0	0.37	0.04	10.0749575107358
50	20	T	0.76	0	0.24	0.04	19.8713862147182
50	30	T	0.74	0	0.26	0.04	30.1209203241393
50	40	T	0.72	0	0.28	0.04	39.9377509885002
50	50	T	0.76	0	0.24	0.04	50.0280709332321
50	60	T	0.78	0	0.22	0.04	60.2615738082211
50	70	T	0.69	0	0.31	0.04	69.9195466063917
50	80	T	0.73	0	0.27	0.04	80.2938591278624
50	90	T	0.74	0	0.26	0.04	90.1624179440551
50	100	T	0.75	0	0.25	0.04	100.251854463713
10	10	R	0.575	0.0993399267798783	0.425	0.04	10.2797729051206
10	20	R	0.6425	0.0935765940145741	0.3575	0.04	19.7454731349368
10	30	R	0.66	0.0882579950158088	0.34	0.04	29.850396905886
10	40	R	0.73	0.10182544403356	0.27	0.04	39.9749221016187
10	50	R	0.745	0.0901752679362164	0.255	0.04	50.1889257385395
10	60	R	0.7725	0.0834691875074742	0.2275	0.04	59.7586421936285
10	70	R	0.825	0.0850696309223401	0.175	0.04	70.0626787006855
10	80	R	0.855	0.0809483265975731	0.145	0.04	80.2551362034399
10	90	R	0.865	0.0796373358617545	0.135	0.04	89.8701356606092
10	100	R	0.87	0.0732695097065046	0.13	0.04	99.9731365099549
20	10	R	0.6	0.0711743596647291	0.4	0.04	9.75832442701794
20	20	R	0.64625	0.0634921254960015	0.35375	0.04	20.1953434509691
20	30	R	0.685	0.0614517354472084	0.315	0.04	29.7134994047228
20	40	R	0.71375	0.0804898653313113	0.28625	0.04	40.1394489692524
20	50	R	0.73875	0.0671188066828241	0.26125	0.04	50.1044357310049
20	60	R	0.7725	0.0648378544402963	0.2275	0.04	60.1590879773721
20	70	R	0.8275	0.0756115418647041	0.1725	0.04	69.9546861453913
20	80	R	0.85375	0.0619183460611422	0.14625	0.04	79.9440688190982
