Num.of.Individuals	Num.of.Markers	Type	accuracy	SD	misclassification	FST	jittered_x
50	20	T	0.96	0	0.04	0.01	19.7743804886471
50	30	T	0.98	0	0.02	0.01	29.9289019851945
50	40	T	0.99	0	0.01	0.01	40.2337407724001
50	50	T	1	0	0	0.01	49.9992111686151
50	60	T	1	0	0	0.01	60.2411712556612
50	70	T	1	0	0	0.01	69.9197425713763
50	80	T	1	0	0	0.01	80.2438457579352
50	90	T	1	0	0	0.01	90.2431075318716
50	100	T	1	0	0	0.01	100.035888721189
10	10	R	0.63	0.112857618729367	0.37	0.01	9.79257547492161
10	20	R	0.6975	0.105724318767951	0.3025	0.01	20.0681997407228
10	30	R	0.7	0.140487871737254	0.3	0.01	30.120797105832
10	40	R	0.7525	0.132262697132002	0.2475	0.01	40.1770920670591
10	50	R	0.78	0.105630936457281	0.22	0.01	50.0386385566555
10	60	R	0.7925	0.102949911172989	0.2075	0.01	60.164826424839
10	70	R	0.8325	0.0847209040257915	0.1675	0.01	69.7394441226497
10	80	R	0.85	0.0873589088036728	0.15	0.01	79.7860781351104
10	90	R	0.87	0.0732695097065046	0.13	0.01	89.7064861783292
10	100	R	0.89	0.0660940318987394	0.11	0.01	99.8343895535916
20	10	R	0.63125	0.0561219302290253	0.36875	0.01	10.2517816272099
20	20	R	0.69375	0.061705476170869	0.30625	0.01	19.7897488693241
20	30	R	0.72625	0.0745490830894229	0.27375	0.01	30.1954801135696
20	40	R	0.76375	0.0713935534462616	0.23625	0.01	40.1127124157269
20	50	R	0.79125	0.0603035086698505	0.20875	0.01	50.2121990173589
20	60	R	0.79875	0.0503115294937453	0.20125	0.01	59.9197350543458
20	70	R	0.82625	0.0417345937537371	0.17375	0.01	70.1238058072981
20	80	R	0.84	0.0496036925620409	0.16	0.01	80.198344095191
20	90	R	0.86625	0.0453603989121975	0.13375	0.01	90.253174605919
20	100	R	0.88625	0.0425154770580513	0.11375	0.01	100.141273959354
30	10	R	0.626666666666667	0.0481833729298872	0.373333333333333	0.01	9.75975640490651
30	20	R	0.690833333333333	0.0496993887262819	0.309166666666667	0.01	19.7697150899097
30	30	R	0.73	0.0606012757281811	0.27	0.01	29.8097010672558
30	40	R	0.766666666666667	0.0425777582439003	0.233333333333333	0.01	40.1057794621214
30	50	R	0.794166666666667	0.038340960339643	0.205833333333333	0.01	50.2978391709272
30	60	R	0.803333333333333	0.0431236492287819	0.196666666666667	0.01	60.295677377237
30	70	R	0.826666666666667	0.0409678236314722	0.173333333333333	0.01	70.0305954081006
30	80	R	0.849166666666667	0.0380346871539728	0.150833333333333	0.01	79.9019924171735
30	90	R	0.865833333333333	0.0402750049458944	0.134166666666667	0.01	89.7859434943646
30	100	R	0.8825	0.0364647550735379	0.1175	0.01	99.8312799287029
40	10	R	0.6275	0.0494376268379503	0.3725	0.01	10.0743714159355
40	20	R	0.689375	0.0421999859690673	0.310625	0.01	19.7130429078359
40	30	R	0.72875	0.0580805928271905	0.27125	0.01	30.0652170756832
40	40	R	0.76	0.0359550157543386	0.24	0.01	39.8335317866411
40	50	R	0.798125	0.0312236731208533	0.201875	0.01	49.9309515714645
40	60	R	0.806875	0.0430106703407177	0.193125	0.01	60.0917176974937
40	70	R	0.830625	0.0372745415447115	0.169375	0.01	69.8989743596874
40	80	R	0.853125	0.0362454625109348	0.146875	0.01	80.1833218996879
40	90	R	0.864375	0.0367859652155833	0.135625	0.01	90.2245048248209
40	100	R	0.87875	0.0339552724376611	0.12125	0.01	99.910033084685
50	10	R	0.627	0.0431765043318214	0.373	0.01	10.027155904891
50	20	R	0.6895	0.0439467380982216	0.3105	0.01	19.8675512295682
50	30	R	0.7315	0.0514295634824952	0.2685	0.01	30.0480600203387
50	40	R	0.762	0.0437216073282813	0.238	0.01	39.7173320309259
50	50	R	0.796	0.0356001182730147	0.204	0.01	49.7675788079388
50	60	R	0.8065	0.0442808025411036	0.1935	0.01	60.2757515994832
50	70	R	0.8345	0.0356112046235008	0.1655	0.01	70.0116563601419
50	80	R	0.8565	0.0337599887752538	0.1435	0.01	79.907729217317
50	90	R	0.868	0.0293078038826019	0.132	0.01	90.0993587428238
50	100	R	0.886	0.0262377791101225	0.114	0.01	100.083160074428
